"ReleaseYear","Title","Origin/Ethnicity","Director","Cast","Genre","WikiPage","Plot"
1931,"Dracula","American","Tod Browning","Bela Lugosi, Helen Chandler, David Manners","horror","https://en.wikipedia.org/wiki/Dracula_(1931_English-language_film)","Renfield (Dwight Frye) is a solicitor traveling to Count Dracula's (Bela Lugosi) castle in Transylvania on a business matter. The people in the local village fear that vampires inhabit the castle and warn Renfield not to go there. Renfield refuses to stay at the inn and asks his carriage driver to take him to the Borgo Pass. Renfield is driven to the castle by Dracula's coach, with Dracula disguised as the driver. En route, Renfield sticks his head out the window to ask the driver to slow down, but sees the driver has disappeared; a bat leads the horses.
Renfield enters the castle welcomed by the charming but eccentric Count, who unbeknownst to Renfield, is a vampire. They discuss Dracula's intention to lease Carfax Abbey in London, where he intends to travel the next day. Dracula hypnotizes Renfield into opening a window. Renfield faints as a bat appears and Dracula's three wives close in on him. Dracula waves them away, then attacks Renfield himself.
Aboard the schooner Vesta, Renfield is a raving lunatic slave to Dracula, who hides in a coffin and feeds on the ship's crew. When the ship reaches England, Renfield is discovered to be the only living person. Renfield is sent to Dr. Seward's sanatorium adjoining Carfax Abbey.
At a London theatre, Dracula meets Seward (Herbert Bunston). Seward introduces his daughter Mina (Helen Chandler), her fiancé John Harker (David Manners) and the family friend Lucy Weston (Frances Dade). Lucy is fascinated by Count Dracula. That night, Dracula enters her room and feasts on her blood while she sleeps. Lucy dies the next day after a string of transfusions.
Renfield is obsessed with eating flies and spiders. Professor Van Helsing (Edward Van Sloan) analyzes Renfield's blood and discovers his obsession. He starts talking about vampires, and that afternoon Renfield begs Seward to send him away, claiming his nightly cries may disturb Mina's dreams. When Dracula calls Renfield with wolf howling, Renfield is disturbed by Van Helsing showing him wolfsbane, which Van Helsing says is used for protection from vampires.
Dracula visits Mina, asleep in her bedroom, and bites her. The next evening, Dracula enters for a visit and Van Helsing and Harker notice that he does not have a reflection. When Van Helsing reveals this to Dracula, he smashes the mirror and leaves. Van Helsing deduces that Dracula is the vampire behind the recent tragedies.
Mina leaves her room and runs to Dracula in the garden, where he attacks her. She is found by the maid. Newspapers report that a woman in white is luring children from the park and biting them. Mina recognizes the lady as Lucy, risen as a vampire. Harker wants to take Mina to London for safety, but is convinced to leave Mina with Van Helsing. Van Helsing orders Nurse Briggs (Joan Standing) to take care of Mina when she sleeps, and not to remove the wreath of wolfsbane from her neck.
Renfield escapes from his cell and listens to the men discuss vampires. Before his attendant takes Renfield back to his cell, Renfield relates to them how Dracula convinced Renfield to allow him to enter the sanitorium by promising him thousands of rats with blood and life in them. Dracula enters the Seward parlour and talks with Van Helsing. Dracula states that Mina now belongs to him, and warns Van Helsing to return to his home country. Van Helsing swears to excavate Carfax Abbey and destroy Dracula. Dracula attempts to hypnotize Van Helsing, but the latter's resolve proves stronger. As Dracula lunges at Van Helsing, he withdraws a crucifix from his coat, forcing Dracula to retreat.
Harker visits Mina on a terrace, and she speaks of how much she loves ""nights and fogs"". A bat flies above them and squeaks to Mina. She then attacks Harker but Van Helsing and Seward save him. Mina confesses what Dracula has done to her, and tells Harker their love is finished.
Dracula hypnotizes Briggs into removing the wolfsbane from Mina's neck and opening the windows. Van Helsing and Harker see Renfield heading for Carfax Abbey. They see Dracula with Mina in the abbey. When Harker shouts to Mina, Dracula thinks Renfield has led them there and kills him. Dracula is hunted by Van Helsing and Harker knowing that Dracula is forced to sleep in his coffin during daylight, and the sun is rising. Van Helsing prepares a wooden stake while Harker searches for Mina. Van Helsing impales Dracula, killing him, and Mina returns to normal."
1936,"Dracula's Daughter","American","Lambert Hillyer","Otto Kruger, Gloria Holden, John Carradine","horror","https://en.wikipedia.org/wiki/Dracula%27s_Daughter","Dracula's Daughter begins a few moments after Dracula ends. Count Dracula has just been destroyed by Professor Von Helsing (Edward Van Sloan). Von Helsing is taken by police to Scotland Yard, where he explains that he indeed did destroy Count Dracula, but because he had already been dead for over 500 years, it cannot be considered murder. Instead of hiring a lawyer, he enlists the aid of a psychiatrist, Dr. Jeffrey Garth (Otto Kruger), who was once one of his star students.
Meanwhile, Dracula's daughter, Countess Marya Zaleska (Gloria Holden), with the aid of her manservant, Sandor (Irving Pichel), steals Dracula’s body from Scotland Yard and ritualistically burns it, hoping to break her curse of vampirism. However, Sandor soon begins to discourage her telling her that all that is in her eyes is ""death."" She soon gives into her thirst for blood. The Countess resumes her hunting, mesmerizing her victims with her exotic jeweled ring. After a chance meeting with Dr. Garth at a society party, the Countess asks him to help her overcome the influence she feels from beyond the grave. The doctor advises her to defeat her cravings by confronting them and the Countess becomes hopeful that her will, plus Dr. Garth's science, will be strong enough to overcome Dracula's malevolence.
The Countess sends Sandor to fetch her a model to paint; he returns with Lili (Nan Grey). Countess Zaleska initially resists her urges but succumbs and attacks her. Lili survives the attack and is examined by Dr. Garth through hypnosis; she reveals enough information to let Dr. Garth know that it was Countess Zaleska that attacked her, but suffers heart failure and dies. The Countess gives up fighting her urges and accepts that a cure is not possible; she lures Dr. Garth to Transylvania by kidnapping Janet (Marguerite Churchill), his secretary, whom he has a playfully antagonistic relationship with, but now realizes that he cares for her. Zaleska intends to transform Dr. Garth into a vampire to be her eternal companion. Arriving at Castle Dracula in Transylvania, Dr. Garth agrees to exchange his life for Janet's. Before he can be transformed, Countess Zaleska is destroyed when Sandor shoots her through the heart with an arrow as revenge for her breaking her promise to make him immortal. He takes aim at Dr. Garth but is shot dead by a Scotland Yard policeman who, along with Von Helsing, have followed Dr. Garth from London."
1943,"Son of Dracula","American","Robert Siodmak","Lon Chaney, Jr., Evelyn Ankers","horror","https://en.wikipedia.org/wiki/Son_of_Dracula_(1943_film)","Hungarian Count Alucard (Lon Chaney Jr.), a mysterious stranger, arrives in the U.S. invited by Katherine Caldwell (Louise Allbritton), one of the daughters of New Orleans plantation owner Colonel Caldwell (George Irving). Shortly after his arrival, the Colonel dies of apparent heart failure and leaves his wealth to his two daughters, with Claire receiving all the money and Katherine his estate ""Dark Oaks."" Katherine, a woman with a taste for the morbid, has been secretly dating Alucard and eventually marries him, shunning her long-time boyfriend Frank Stanley. Frank confronts the couple and tries to shoot Alucard, but the bullets pass through the Count's body and hit Katherine, seemingly killing her.
A shocked Frank runs off to Dr. Brewster, who visits Dark Oaks and is welcomed by Alucard and a living Katherine. The couple instruct him that henceforth they will be devoting their days to scientific research and only welcome visitors at night. Frank goes on to the police and confesses to the murder of Katherine. Brewster tries to convince the Sheriff that he saw Katherine alive and that she would be away all day, but the Sheriff insists on searching Dark Oaks. He finds Katherine's dead body and has her transferred to the morgue. Dr. Brewster is shown reading the novel Dracula.
Meanwhile, Hungarian Professor Lazlo arrives at Brewster's house. Brewster has noticed that Alucard is Dracula spelled backwards and Lazlo suspects vampirism. A local boy brought to Brewster's house confirms this suspicion—there are bite marks on his neck. Later, the Count appears to Brewster and Lazlo but is driven away by a cross.
Vampiric Katherine enters Frank's cell as a bat and starts his transformation. After he awakens, she tells him she still loves him. She explains that she only married Alucard (who is really Dracula himself) to obtain immortality and wants to share that immortality with Frank. He is initially repulsed by her idea, but then yields to her. After she explains that she has already drunk some of his blood, she advises him on how to destroy Alucard. He breaks out of prison, seeks out Alucard's hiding place and burns his coffin. Without his daytime sanctuary, Alucard is destroyed when the sun rises. Brewster, Lazlo, and the Sheriff arrive at the scene to find Alucard's remains.
Meanwhile, Frank stumbles into the playroom where Katherine said she would be. He finds her coffin and gazes down at her lifeless body. Knowing he must kill the love of his life, Frank takes off his ring and puts it on Katherine's left ring finger. Once Brewster and the others reach the room, they see Frank appear at the door. He steps back allowing them to follow. As they enter the room, they see Katherine's burning coffin. They all stare, speechlessly, while Frank mourns the loss of his love."
1945,"House of Dracula","American","Erle C. Kenton","Lon Chaney, John Carradine, Onslow Stevens Martha O'Driscoll, Skelton Knaggs","horror","https://en.wikipedia.org/wiki/House_of_Dracula","Count Dracula (Carradine) arrives at the castle home of Dr. Franz Edlemann (Onslow Stevens). The Count, who introduces himself as ""Baron Latos"", explains that he has come to Visaria to find a cure for his vampirism. Dr. Edlemann agrees to help. Together with his assistants, Milizia (Martha O'Driscoll) and the hunchbacked Nina (Jane Adams), he has been working on a mysterious plant, the clavaria formosa, whose spores have the ability to reshape bone. Edlemann explains that he thinks vampirism can be cured by a series of blood transfusions. Dracula agrees to this, and Edlemann uses his own blood for the transfusions. Dracula has his coffin placed in the castle basement.
That night, Lawrence Talbot (Chaney Jr.) arrives at the castle. He demands to see Dr. Edlemann about a cure for his lycanthropy. Talbot is asked to wait. Knowing that the moon is rising, Talbot has himself incarcerated by the police. A crowd of curious villagers gathers outside the police station, led by the suspicious Steinmuhl (Skelton Knaggs). Inspector Holtz (Lionel Atwill) asks Edlemann to see Talbot, and as the full moon rises, they both witness his transformation into the Wolfman. Edlemann and Milizia have him transferred to the castle the next morning. Edlemann tells him that he believes that Talbot's transformations are not triggered by the moonlight, but by pressure on the brain. He believes he can relieve the pressure, but Talbot must wait for him to gather more mold from his spores. Despondent by the thought of becoming the Wolfman again, Talbot says he wants to kill himself and jumps into the ocean. He ends up in a cave below the castle.
Edlemann searches for Talbot and finds that he survived the fall, but has turned into the Wolfman. The Wolfman attacks, but suddenly returns to his human form as the moon goes behind the clouds. In the cave, they find the catatonic Frankenstein monster (Strange), still clutching the skeleton of Dr. Niemann. Humidity in the cave is perfect for propagating the clavaria formosa, and a natural tunnel in the cave connects to a basement of the castle. Dr. Edlemann takes the monster back to his lab, but considers it too dangerous to revive him.
Dracula tries to seduce Milizia and make her a vampire, but Milizia wards him off with a cross. Edlemann interrupts to explain that he has found strange antibodies in the Count's blood, requiring another transfusion. Nina begins shadowing Milizia, who is weakened by Dracula's presence; Nina notices that the Count casts no reflection in a mirror. She warns Edlemann of the vampire's danger to Milizia. Edlemann prepares a transfusion that will destroy the vampire. During the procedure, Dracula uses his hypnotic powers to put Edlemann and Nina to sleep; he then reverses the flow of the transfusion, sending his own blood into the Doctor's veins. When they awake, Dracula is carrying Milizia away. They revive Talbot and force Dracula away with a cross. Dracula returns to his coffin as the sun is beginning to rise. Edlemann follows him and drags the open coffin into the sunlight, destroying Dracula.
Edlemann begins to react to Dracula's blood, and becomes evil. He no longer casts a reflection in a mirror. Falling unconscious, he sees strange visions of himself performing unspeakable acts. When he awakens, his face has changed to reflect his evil nature just like in his vision, then he returns to his normal self.
Edlemann performs the operation on Talbot. Afterwards, he transforms again into his evil self and brutally murders his gardener. When the townspeople discover the body, they chase Edlemann, believing him to be Talbot. They follow him to the castle, where Holtz and Steinmuhl interrogate Talbot and Edlemann. Steinmuhl is convinced that Edlemann is the murderer, and assembles a mob to execute him.
Talbot is cured by the operation, but Edlemann again turns into his evil self. He revives the Frankenstein monster, but the monster is very weak. Nina is horrified by Edlemann's transformation, and Edlemann breaks her neck and tosses her body into the cave. Holtz and Steinmuhl lead the townspeople to the castle. The police attack the Frankenstein monster, but the monster subdues them. Edlemann kills Holtz by accidental electrocution. Talbot shoots Edlemann dead. Talbot traps the Frankenstein monster under fallen shelving. A fire breaks out, and the townspeople flee the burning castle. The burning roof collapses on the Frankenstein monster."
1958,"The Return of Dracula","American","Paul Landres","Francis Lederer, Norma Eberhardt","horror","https://en.wikipedia.org/wiki/The_Return_of_Dracula","In Central Europe, Investigator John Meierman and several assistants attempt to trap Count Dracula inside his tomb in a cemetery, but upon opening his casket, find it empty. Nearby, Dracula, who has fled, boards a train, where he murders Bellac Gordal, a Czech artist en route to the United States to visit his extended family in the small community of Carleton, California. Dracula proceeds to impersonate Bellac, assuming his identity. After arriving in California, Dracula, posing as Bellac, is met by Bellac's widowed cousin, Cora, and her children, the young Mickey, and teenaged Rachel. Rachel is especially eager to meet her cousin, as she has a shared passion for art, specifically clothing design. The family quickly find Bellac's behavior eccentric, as he maintains a social detachment from them. The day after Bellac's arrivel, Mickey's beloved cat goes missing, and is subsequently found mutilated in an abandoned mineshaft. Unbeknownst to the others, Bellac has established a secret resting place in the abandoned mine, replete with a coffin where he goes to sleep. Rachel is disappointed by his absence one day, as she hoped to show him the town, but is eventually met by him at dusk—he explains he spent the day painting. Rachel departs to her night shift at the local parish house, where she tends to elderly and infirm residents, including a blind woman, Jennie. After Rachel finishes her shift, Jennie is awoken by Bellac, who offers to give her the ability of sight, before biting her neck. In the morning, Rachel is beckoned to the parish house, and is driven there by her boyfriend, Tim. Upon arriving, Rachel finds Jennie feverish and hysterical, claiming a man entered her room through the window. When she attempts to get out of bed, Jennie collapses and dies. After Jennie's funeral, Cora and Rachel are approached by Mack Bryant, a detective appointed by Meierman. He asks about cousin Bellac, and mentions that an unidentified man was thrown from a train to his death in Germany. Bellac appears at the home, and Bryant examines his immigration records and passport before meeting with Meierman outside to divulge his findings. Bellac visits Jennie's tomb in the mausoleum, and awakens her from the dead. Later, Bryant hears Jennie's voice beckoning him in the woods near the train station. When he goes to investigate, he is fatally mauled by a dog. That night, Rachel invites Bellac to attend a Halloween costume party the following day at the parish house, but he declines. Rachel confronts Bellac about his isolation from the family, but he remains evasive. Rachel later falls asleep while reading, and has what seems to be a nightmare in which Bellac asks her to remove Jennie's crucifix pendant from her neck, and offers her eternal life. In the morning, Rachel finds the crucifix lying on the floor, leading her to suspect it was not a dream. Meierman visits the parish house, and confronts the Reverend Whitfield with his findings. Meanwhile, before departing for the Halloween party, Rachel finds a portrait of herself in Bellac's room depicting her inside a coffin. When Bellac appears downstairs, Rachel grows terrified when she realizes his reflection does not appear in a mirror. Tim arrives moments later, and Rachel leaves with him to the party, in a trance-like state. At the party, Whitfield and Meierman confront Rachel, asking her to help them entrap Bellac. After finding Jennie's crypt empty, Meierman, Whitfield, and other police stake out the cemetery, where they soon witness Jennie returning to her crypt. Simultaneously, Rachel leaves the party and flees to the abandoned mineshaft to visit Bellac. As Meierman drives a stake through Jennie's heart, killing her, Bellac collapses before Rachel. Tim arrives at the mineshaft, having followed Rachel there, and finds her hysterical. Tim attempts to escort Rachel out of the mine, but Bellac blocks their exit. Bellac momentarily hypnotizes Tim, but Tim approaches him with Jennie's crucifix, forcing Bellac to fall in a shaft below, where he is impaled on a large steel bar."
1966,"Billy the Kid vs. Dracula","American","William Beaudine","John Carradine, Chuck Courtney","western, horror","https://en.wikipedia.org/wiki/Billy_the_Kid_vs._Dracula","The film centers on Dracula's plot to convert Billy the Kid's fiancee, Betty Bentley, into his vampire bride. Dracula impersonates Bentley's uncle, calling himself ""Mr. Underhill"", and schemes to make her his vampire bride.
Fortunately for Betty, a German immigrant couple come to work for her and warn Bentley that her ""uncle"" is a vampire. While Bentley does not believe them, their concerns confirm Billy's suspicions that something is not quite right with Betty's uncle.
Eventually, the Count kidnaps Betty and takes her to an abandoned silver mine. Billy confronts the Count but soon finds that bullets are no match for a vampire. The Count subdues the notorious outlaw and sets out to transform Betty into his vampire mate. Just then, the town sheriff and a country doctor arrive. The doctor hands Billy a silver scalpel telling him he must drive it through the vampire's heart. Billy throws his gun at the vampire and knocks him senseless, making him easy pickings for a staking. With the Count destroyed, Betty is saved and Billy takes her away, presumably to live happily ever after."
1969,"Blood of Dracula's Castle","American","Al Adamson","John Carradine, Robert Dix","horror","https://en.wikipedia.org/wiki/Blood_of_Dracula%27s_Castle","Count Dracula (Alexander D'Arcy) and his vampire wife (Paula Raymond), hiding behind the pseudonyms of Count and Countess Townsend, lure girls to their castle in the Arizona desert to be drained of blood by their butler George (John Carradine), who then mixes real Bloody Marys for the couple. Then the real owners of the castle show up, along with Johnny, who is a serial killer or a werewolf depending on which version you watch. The owners refuse to sell, so Dracula wants to force them to sell. In a final confrontation, the vampires are forced to stand in the sunlight and dissolve into dust. However, two bats emerge from the ashes and fly away.
Ostensibly located in Arizona, the film was actually shot at Shea's Castle, near Lancaster, California. Other portions of the film were shot in the Coachella Valley, California.[1]"
1971,"Dracula vs. Frankenstein","American","Al Adamson","Lon Chaney, Jr., J. Carrol Naish","horror","https://en.wikipedia.org/wiki/Dracula_vs._Frankenstein","Wheelchair-bound mad scientist Dr. Durea (J. Carrol Naish), the last descendant of the original Dr. Frankenstein, takes to murdering young girls for experimentation in hopes of perfecting a serum of his own creation with help from his mute assistant Groton (Lon Chaney, Jr.). Count Dracula (played by Roger Engel under the pseudonym ""Zandor Vorkov"") comes to the scientist, promising to help him revive Frankenstein's monster (which he has exhumed from its secret grave in Oakmoor Cemetery) in return for Durea's serum which he hopes will grant him immunity to sunlight.
As a cover, the duo work out of the Creature Emporium, a throwback to the old side show days located on the boardwalk amusement park in Venice, California. They bring the Monster (John Bloom) back to life and send him out to exact revenge on the man who discredited and crippled Durea, Dr. Beaumont (Forrest J. Ackerman). Las Vegas showgirl Judith Fontaine has also arrived, looking for her missing sister Joanie who was last seen hanging out with a group of hippies led by Strange (Greydon Clark). Judith has gotten no satisfaction from Sgt. Martin (Jim Davis). She says she is going to investigate on her own and does so, attracting the attention of biker Rico (Russ Tamblyn) and his gang. Rico slips her some LSD at a dive bar and Judith, while on a trip, is taken by Strange and his girlfriend Samantha (Anne Morrell) to the home of aging hippie Mike Howard (Anthony Eisley) who agrees to help her find Joanie. Judith, Mike, Samantha and Strange go to the Creature Emporium and show Durea a picture of Joanie, but he says he has never seen her.
More girls turn up missing, the Monster kills a couple of police officers and Groton takes to the beach with an ax and kills Rico and his gang who were attacking Samantha, then Groton takes her inside the Creature Emporium. Judith and Mike go to the Emporium and confront Durea who explains that the girls (including Joanie) were frightened before their deaths and this created an enzyme in their blood which is the main ingredient for his serum. He also tells Judith that, after he has Mike (with whom she has fallen in love and he with her) killed, her fear will help him complete the serum at last. Durea sends Groton and the dwarf Grazbo (Angelo Rossitto), the ticket taker at the Creature Emporium, after them (Durea's original reason for creating the serum in the first place was to heal his damaged legs and to make Groton and Grazbo into normal people). Grazbo falls through a trap door in the laboratory which leads to the beach below the Emporium and onto an ax he had dropped, which kills him, and Groton goes after Judith. Sgt. Martin and Strange arrive with the police and Martin shoots Groton from the rooftop of the building from which he falls to his death, while Durea falls from his wheelchair into a guillotine in the Emporium while attempting to escape and is beheaded in it.
Dracula confronts Mike, who sticks a lit car flare in the Monster's face, forcing him to briefly turn on Dracula in his pain. As Mike is running away with Judith, Dracula blasts him with fire shot from his demon-headed ring, burning him to ashes.
Judith faints and awakens to find herself tied up in an abandoned church outside of Venice where Dracula's coffin is located. Dracula is about to make her his vampire bride, but the Monster (who has fallen for her beauty) wants none of it and forces Dracula out of the church and into the woods (but not before removing Dracula's ring from his finger), where a fierce battle ensues between the two monsters. Dracula literally rips off the Monster's arms and head, but gets caught in the rays of the sun before he can make it back to his coffin and crumbles to dust. Judith manages to free herself and picks up Dracula's ring, but drops it and leaves in fear."
1979,"Dracula","American","John Badham","Frank Langella, Laurence Olivier","horror","https://en.wikipedia.org/wiki/Dracula_(1979_film)","In Whitby, England in 1913, Count Dracula (Frank Langella) arrives from Transylvania via the ship Demeter one stormy night. A sickly Mina Van Helsing (Jan Francis), who is visiting her friend Lucy Seward (Kate Nelligan), discovers Dracula's body after his ship has run aground. The Count visits Mina and her friends at the household of Lucy's father, Dr. Jack Seward (Donald Pleasence), whose clifftop mansion also serves as the local asylum. At dinner, he proves to be a charming guest and leaves a strong impression on the hosts, especially Lucy. Less charmed by this handsome Romanian count is Jonathan Harker (Trevor Eve), Lucy's fiancé.
Later that night, while Lucy and Jonathan are having a secret rendezvous, Dracula reveals his true nature as he descends upon Mina to drink her blood. The following morning, Lucy finds Mina awake in bed, struggling for breath. Powerless, she watches her friend die, only to find wounds on her throat. Lucy blames herself for Mina's death, as she had left her alone.
At a loss for the cause of death, Dr. Seward calls for Mina's father, Professor Abraham Van Helsing (Laurence Olivier). Van Helsing suspects what might have killed his daughter: a vampire. Moreover, he begins to worry about what fate his seemingly dead daughter may now have. Seward and Van Helsing investigate their suspicions and discover a roughly clawed opening within Mina's coffin which leads to the local mines. It is there that they encounter the ghastly form of an undead Mina, and it is up to a distraught Van Helsing to destroy what remains of his own daughter.
Lucy has in the meantime been summoned to Carfax Abbey, Dracula's new home. She reveals herself to be in love with this foreign prince and openly offers herself to him as his bride. After a surreal ""wedding night"" sequence (employing lasers and shot by famed James Bond title sequence designer, Maurice Binder), Lucy, like Mina before her, is now infected by Dracula's blood. The two doctors manage to give Lucy a blood transfusion to slow her descent into vampirism, but she remains under Dracula's spell.
Now aided by Jonathan, the elderly doctors realize that the only way to save Lucy is by destroying Dracula. They manage to locate his coffin within the grounds of Carfax Abbey, but the vampire is waiting for them. Despite it being daylight, Dracula is still a very powerful adversary. Dracula escapes their attempts to kill him, bursts into the asylum to free the captive Lucy, and also murders his one-time slave, Milo Renfield (Tony Haygarth), for warning the others about him. Dracula now intends for him and Lucy to return to Transylvania together.
In a race against time, Harker and Van Helsing just manage to get on board a ship carrying the vampire cargo bound for Romania. Below decks, Harker and Van Helsing find the Count's coffin; upon opening it, they see Lucy sleeping beside Dracula. Again they try to destroy him, but the Count awakens and once more fights with them. In the struggle, Van Helsing is fatally wounded by Dracula as he is impaled by the stake intended for the vampire. As the enraged Count now turns his attention to Harker, Van Helsing uses his remaining strength to throw a hook (attached to a rope from the ship's rigging) into Dracula's back. Harker seizes his chance and hoists the Count up through the cargo hold and into the sunlight above, and Dracula suffers a slow and painful death as the solar rays burn his body.
Lucy, now apparently herself once more, reaches out to Harker, who stares at the dead Van Helsing. At this moment, she looks up to see Dracula's cape flying away in the wind, and smiles enigmatically."
1992,"Bram Stoker's Dracula","American","Francis Ford Coppola","Gary Oldman, Winona Ryder, Keanu Reeves, Anthony Hopkins","horror","https://en.wikipedia.org/wiki/Bram_Stoker%27s_Dracula","In 1462, Vlad Dracula, a member of the Order of the Dragon, returns from a victory against the Turks to find his wife, Elisabeta, has committed suicide after receiving a false report of his death. The priest proceeds to tell him that his wife's soul is condemned for committing suicide. Enraged, Dracula desecrates the chapel and renounces his faith, declaring that he will rise from the grave to avenge Elisabeta with all the powers of darkness. He then stabs the chapel's stone cross with his sword and drinks the blood that pours out of it.
In 1897, newly qualified solicitor Jonathan Harker takes the Transylvanian Count Dracula as a client from his colleague Renfield, who has gone insane. Jonathan travels to Transylvania to arrange Dracula's real estate acquisitions in London, including Carfax Abbey. Jonathan meets Dracula, who discovers a picture of Harker's fiancée, Mina and believes that she is the reincarnation of Elisabeta. Dracula leaves Jonathan to be attacked and fed upon by his brides, while he sails to England with boxes of his native Transylvanian soil, taking up residence at Carfax Abbey. His arrival is foretold by the ravings of Renfield, now an inmate in Dr. Jack Seward's insane asylum.
In London, Dracula emerges as a wolf-like creature amid a fierce thunderstorm and hypnotically seduces, then rapes and bites Lucy Westenra, with whom Mina is staying while Jonathan is in Transylvania. Lucy's deteriorating health and behavioral changes prompt her former suitors Quincey Morris and Dr. Seward, along with her fiancé, Arthur Holmwood, to summon Dr. Abraham Van Helsing, who recognizes Lucy as the victim of a vampire. Dracula, appearing young and handsome during daylight, meets and charms Mina. When Mina receives word from Jonathan, who has escaped the castle and recovered at a convent, she travels to Romania to marry him. In his fury, Dracula transforms Lucy into a vampire. Van Helsing, Holmwood, Seward and Morris kill the now undead Lucy the following night.
After Jonathan and Mina return to London, Jonathan and Van Helsing lead the others to Carfax Abbey, where they destroy the Count's boxes of soil. Dracula enters the asylum, where he kills Renfield for warning Mina of his presence. He visits Mina, who is staying in Seward's quarters while the others hunt Dracula, and confesses that he murdered Lucy and has been terrorizing Mina's friends. Confused and angry, Mina admits that she still loves him and remembers her previous life as Elisabeta. At her insistence, Dracula begins transforming her into a vampire. The hunters burst into the bedroom, and Dracula claims Mina as his bride before escaping. As Mina changes, Van Helsing hypnotizes her and learns via her connection with Dracula that he is sailing home in his last remaining box. The hunters depart for Varna to intercept him, but Dracula reads Mina's mind and evades them. The hunters split up; Van Helsing and Mina travel to the Borgo Pass and the castle, while the others try to stop the gypsies transporting the Count.
At night, Van Helsing and Mina are approached by Dracula's brides. Initially, they frighten Mina, but she eventually succumbs to their chanting and attempts to seduce Van Helsing. Before Mina can feed on his blood, Van Helsing places a communion wafer on her forehead, leaving a mark. He surrounds them with a ring of fire to protect them from the brides, then infiltrates the castle and decapitates them the following morning. As sunset approaches, Dracula's carriage arrives at the castle, pursued by the hunters. A fight between the hunters and gypsies ensues. Morris is stabbed in the back during the fight and at sunset Dracula bursts from his coffin. Harker slits his throat while a wounded Morris stabs him in the heart with a Bowie knife. As Dracula staggers, Mina rushes to his defense. Holmwood tries to attack but Van Helsing and Harker allow her to retreat with the Count. Morris dies of his wound, surrounded by his friends.
In the chapel where he renounced his faith, Dracula lies dying in an ancient demonic form. They share a kiss as the candles adorning the chapel light up and the cross repairs itself. Dracula turns back to his younger self and asks Mina to give him peace. Mina thrusts the knife through his heart and as he finally dies, the mark on her forehead disappears as Dracula's curse is lifted. She decapitates him and gazes up at the fresco of Vlad and Elisabeta ascending to Heaven together, reunited at long last."
