rotten_tomatoes_link,movie_title,movie_info,critics_consensus,content_rating,genres,directors,authors,actors,original_release_date,streaming_release_date,runtime,production_company,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count
m/1006234-dracula,Dracula,"The dashing, mysterious Count Dracula (Bela Lugosi), after hypnotizing a British soldier, Renfield (Dwight Frye), into his mindless slave, travels to London and takes up residence in an old castle. Soon Dracula begins to wreak havoc, sucking the blood of young women and turning them into vampires. When he sets his sights on Mina (Helen Chandler), the daughter of a prominent doctor, vampire-hunter Van Helsing (Edward Van Sloan) is enlisted to put a stop to the count's never-ending bloodlust.",Bela Lugosi's timeless portrayal of Dracula in this creepy and atmospheric 1931 film has set the standard for major vampiric roles since.,NR,"Classics, Horror",Tod Browning,Garrett Elsden Fort,"Bela Lugosi, Helen Chandler, David Manners, Dwight Frye, Edward Van Sloan, Herbert Bunston, Frances Dade, Charles Gerrard, Joan Standing, Moon Carroll, Josephine Velez, Lupita Tovar, Donald Murphy, Daisy Belmore, Pablo Álvarez Rubio, Tina Sáinz, Nicholas Bela, Michael Visaroff, Eduardo Arozamena, Carla Laemmle, Garrett Fort, Dorothy Tree, Manuel Arbo, Jeraldine Dvorak, Barry Norton, Mildred Peirce, John George, Carmen Guerrero, George Hill Mailes",1931-01-01,2014-02-12,75,Universal Pictures,Certified-Fresh,92,48,Upright,81,44775,7,44,4
m/1006235-dracula,Dracula,"At the request of Count Dracula (Jack Palance), solicitor Jonathan Harker (Murray Brown) visits Transylvania in order to help the count finalize a real estate purchase. While there, he's bewitched by a group of female vampires, and is lucky to escape the castle alive. Meanwhile, back in England, Harker's fiancée, Mina (Penelope Horner), is taken ill, and the attending doctor, Van Helsing (Nigel Davenport), traces the sickness to the recent arrival of the mysterious Dracula.",,R,"Horror, Mystery & Suspense",Dan Curtis,"Richard Matheson, Bram Stoker","Jack Palance, Simon Ward, Nigel Davenport, Pamela Brown, Fiona Lewis, Penelope Horner, Murray Brown, Sandra Caron, Sarah Douglas, Reg Lye, George Pravda, Virginia Wetherell, Hana-Maria Pravda",1973-02-08,2016-07-23,97,MPI Home Video,Fresh,60,5,Spilled,43,1284,0,3,2
m/1006236-dracula,Dracula,"A man washes ashore in England after a shipwreck and is found by Mina Van Helsing (Jan Francis). The man introduces himself as Count Dracula (Frank Langella) of Transylvania, and proceeds to integrate himself into the lives of Mina and her friend Lucy Seward (Kate Nelligan). However, when Mina dies and her father, Prof. Van Helsing (Laurence Olivier), attributes her death to a vampire, evidence indicates that Count Dracula is the monster, and Lucy is his next target.",,R,"Art House & International, Drama, Horror, Romance",John Badham,W.D. Richter,"Frank Langella, Donald Pleasence, Kate Nelligan, Laurence Olivier, Trevor Eve, Jan Francis, Tony Haygarth, Janine Duvitski, Teddy Turner, Kristine Howarth, Kristine Howatih, Joe Belcher, Ted Carroll, Frank Birch, Gabor Vernon, Frank Henson, Sylvester McCoy, Peter Wallis",1979-07-20,2014-02-12,109,Universal Studios,Rotten,59,17,Spilled,58,9776,1,10,7
m/brides_of_dracula,The Brides of Dracula,Van Helsing (Peter Cushing) drives a stake through the heart of a vampire baron (David Peel) who even bites his own mother (Martita Hunt).,,G,"Classics, Horror",Terence Fisher,"Jimmy Sangster, Peter Bryan, Edward Percy","Peter Cushing, David Peel, Martita Hunt, Yvonne Monlaur, Freda Jackson, Miles Malleson, Henry Oscar, Mona Washbourne, Andree Melly, Victor Brooks, Fred Johnson, Michael Ripper, Marie Devereux, Harold E. Scott, Vera Cook, Marie Devereaux, Norman Pierce",1960-01-01,2016-09-13,85,Universal-International,Fresh,75,16,Upright,61,3086,2,12,4
m/dracula_2000,Dracula 2000,"Long ago, Abraham Van Helsing (Christopher Plummer) imprisoned the infamous Count Dracula (Gerard Butler) within a vault inside Carfax Abbey. In the present day, Van Helsing relies on Dracula's immortal blood to remain alive. But then thieves breaks into the vault and steal the vampire's coffin, thinking it contains something valuable. Liberated from his prison, Dracula seizes the opportunity to escape, but Van Helsing sets out to banish him to the crypt once again.","This retelling trys to offer a different spin on the origin of Dracula. Unfortunately, there's nothing here audiences haven't seen before.",R,Horror,Patrick Lussier,Joel Soisson,"Justine Waddell, Gerard Butler, Jonny Lee Miller, Jennifer Esposito, Danny Masterson, Jeri Ryan, Vitamin C, Sean Patrick Thomas, Christopher Plummer, Omar Epps, Shane West, Tig Fong, Tony Munch, Jonathan Whittaker, Lochlyn Munro, Robert Verlaque, Nathan Fillion, Tom Kane, Randy Butcher, Bill Davidson, Peter Cox, Chris Lamon, Herb Reischl Sr., Duncan McLeod, Wayne Downer, Robert Racki, William Prael, Karon Briscoe, Scarlett Huntley, Harold Short, David J. Francis, Shimmy Silverman, Jonathon Whittaker, Colleen Fitzpatrick",2000-12-22,2016-04-19,99,Dimension Films,Rotten,17,69,Spilled,39,69959,21,12,57
m/dracula_ad_1972,Dracula A.D. 1972,"Professor Van Helsing Jr. (Peter Cushing) protects his granddaughter (Stephanie Beacham) from the vampire count (Christopher Lee), brought back by London hippies.",,PG,"Classics, Horror",Alan Gibson,,"Stephanie Beacham, Marsha A. Hunt, David Andrews, Lally Bowers, Janet Key, Michael Kitchen, J. Philip Miller, Caroline Munro, Christopher Lee, Peter Cushing, Christopher Neame, Michael Coles, William Ellis, Stoneground",1972-11-11,2016-04-19,100,Warner Bros. Pictures,Rotten,22,9,Spilled,40,4673,3,2,7
m/dracula_dead_and_loving_it,Dracula - Dead and Loving It,"Dapper Count Dracula (Leslie Nielsen) relocates from his Transylvanian castle to Victorian London with his slavish assistant, Renfield (Peter MacNicol), in search of new blood. He finds it in a pair of beautiful young women, Mina (Amy Yasbeck) and her best friend, Lucy (Lysette Anthony). When Mina's straitlaced fiancé, Jonathan (Steven Weber), notices his future bride's odd behavior, he calls in his mentor, vampire hunter Van Helsing (Mel Brooks), to save the day.","Lacking any of the comedic bite that audiences have come to expect from a Mel Brooks farce, this vampire parody just plain ol' sucks.",PG-13,Comedy,Mel Brooks,"Mel Brooks, Rudy De Luca, Steve Haberman, Steve Harborman","Leslie Nielsen, Peter MacNicol, Steven Weber, Amy Yasbeck, Lysette Anthony, Harvey Korman, Mel Brooks, Mark Blankfield, Megan Cavanagh, Clive Revill, Chuck McCann, Avery Schreiber, Cherie Franklin, Ezio Greggio, Leslie S. Sachs, Matthew Porretta, Rudy De Luca, Jennifer Crystal, Darla Haun, Maud Winchester, Karen Roe, Charlie Callas, Phillip Connery, Tony Griffin, Casey King, Nick Rempel, Zale Kessler, Barbaree Earl, Maura Nielsen Kaplan, Thea Nielsen Disney, Robin Shepard, Elaine Ballace, Maude Winchester, Shirley Kirkes, Manette LaChance, Lisa Cordray, Stan Mazin, Cindy Marshall-Day, Jody Peterson, Benjamin Livingston, Gregg Binkley, Alton Ruff, Anne Bancroft, David DeLuise, Tommy Koenig, Grinnell Morris, Vince Grant, Audrey Baranishyn, Johnny Cocktails, Jeffrey Broadhurst, Ric Coy, Michael Connors, Stephen Wolfe Smith, Richard Alan Stewart, Kevin Scott Crawford, Carol DeLuise, Sonje Fortag, Henry Kaiser, Loraine Shields, John Frayer, Derek Mark Lochran, Ira Miller, Sandy Johnson (II), Kathleen Kane, David Savoy, Ben Livingston, Sharon Savoy, Tricia McFarlin-Mattson, Anne McVey, Delores Nemiro, Jim Peace, Dennon Rawles, Sandra Rovetta, Blane Savage, Ted Sprague, Jude Van Wormer, Alan Walls",1995-12-22,2008-10-10,90,WARNER BROTHERS PICTURES,Rotten,11,36,Spilled,49,63486,11,4,32
m/dracula_has_risen_from_the_grave,Dracula Has Risen From the Grave,"The vampire count (Christopher Lee) bites a tavern waitress and a monsignor's (Rupert Davies) niece (Veronica Carlson), then falls on something sharp.",,G,"Classics, Drama, Horror, Romance",Freddie Francis,"John Elder, Anthony Hinds","Christopher Lee, Veronica Carlson, Rupert Davies, Barry Andrews, Barbara Ewing, Ewan Hooper, Michael Ripper, George A. Cooper, Marion Mathie, Norman Bacon, John D. Collins, Christopher Cunningham, Carrie Baker",1969-02-06,2012-06-26,92,Warner Brothers/Seven Arts,Fresh,80,15,Upright,60,4307,1,12,3
m/dracula_ii_ascension,Dracula II: Ascension,"After a band of medical students receives a decaying but living body reported to be the vampire Count Dracula (Stephen Billington), they set out to harness his power and immortality. As a bonus, their mentor, Lowell (Craig Sheffer), claims that there is a mysterious donor willing to fund their research. During the study, student Elizabeth Blaine (Diane Neal) injures herself on the vampire's tooth and starts to feel strange. Soon, vampire hunter Father Uffizi (Jason Scott Lee) is on their trail.",,R,Horror,Patrick Lussier,"Patrick Lussier, Joel Soisson","Jason Scott Lee, Jason London, Roy Scheider, Craig Sheffer, Stephen Billington, Diane Neal, John Light, Khary Payton, Brande Roderick, Nick Phillips, Jennifer Kroll",2003-06-07,2016-10-11,85,Miramax,Rotten,0,7,Spilled,30,7444,0,0,7
m/dracula_untold,Dracula Untold,"In 15th-century Transylvania, Vlad III (Luke Evans), prince of Wallachia, is known as a just ruler. With his beloved wife, Mirena (Sarah Gadon), Vlad has brokered a prolonged period of peace and ensured that his people are protected, especially from the Ottoman Empire. However, when Sultan Mehmed II (Dominic Cooper) demands 1,000 of the country's boys, including Vlad's son, for his army, Vlad makes a deal with a monster that will enable him to defeat the Turks -- but cost him his humanity.","Neither awful enough to suck nor sharp enough to bite, Dracula Untold misses the point of its iconic character's deathless appeal.",PG-13,"Action & Adventure, Drama, Science Fiction & Fantasy","Gary Shore (IV), Gary Shore","Bram Stoker, Burk Sharpless, Matt Sazama","Luke Evans, Sarah Gadon, Dominic Cooper, Diarmaid Murtagh, Art Parkinson, Charles Dance, Paul Kaye, William Houston, Noah Huntley, Ronan Vibert, Zach McGowan, Ferdinand Kingsley, Joseph Long, Thor Kristjansson, Jakub Gierszal, Joe Benjamin, Paul Bullion, Mish Boyko, Dilan Gwyn, Arkie Reece, Phil Zimmerman, Dominic Borrelli, Tom Benedict Knight, Paul Casar, Stavros Demetraki, Ruth Baxter, Rachel Kennedy, Louise Parker, Glen Barry, Shane McCaffrey, Gary Whelan, Guillaume Meliot, Jason Coalter, Colan Currin, John Friel, Andrew Laverty, Matthew Akerfeldt, Chris Cherry, Eugene Furphy, Graham Hutton, Chris Keenan, Don Gordon Bell, Graham Cave, Norman Coates, Xander Duffy, Ann Louise Bresnaham, Charlene Gleeson, Ann O'Connor, Gretta Shore, Hunter Boland, Maria Laird, Aodhan McGowan",2014-10-10,2016-08-16,92,Universal Pictures,Rotten,24,135,Spilled,58,49595,28,32,103
