rotten_tomatoes_link,critic_name,top_critic,publisher_name,review_type,review_score,review_date,review_content
m/1006234-dracula,James Berardinelli,True,ReelViews,Fresh,3/4,2000-01-01,"Dracula deserves its status as a classic, although one might be tempted to append the word 'lesser' to that label."
m/1006234-dracula,Jeffrey M. Anderson,False,Combustible Celluloid,Fresh,4/4,2000-01-01,Bela Lugosi is inspired in the role of the vampire. One can no longer label it a good performance or a bad performance. Lugosi embodies the role.
m/1006234-dracula,Tim Dirks,False,AMC Filmsite,Fresh,,2000-01-01,Dracula (1931) is one of the earliest classic American horror films from Universal Pictures - an acclaimed masterpiece directed by Tod Browning
m/1006234-dracula,MaryAnn Johanson,False,Flick Filosopher,Fresh,9/10,2000-01-01,Creepily beautiful.
m/1006234-dracula,Roger Ebert,True,Chicago Sun-Times,Fresh,4/4,2000-01-01,"Certainly it is Lugosi's performance, and the cinematography of Karl Freund, that make Tod Browning's film such an influential Hollywood picture."
m/1006234-dracula,Robert Roten,False,Laramie Movie Scope,Fresh,4/5,2001-01-01,
m/1006234-dracula,Christopher Null,False,Filmcritic.com,Fresh,4/5,2001-02-13,"While Lugosi is of course memorable, don't forget Helen Chandler's Mina, who communicates more through her eyes than virtually any other actress caught on film."
m/1006234-dracula,John J. Puccio,False,Movie Metropolis,Fresh,7/10,2001-04-09,"...a motion picture for people who love motion pictures, their history, and their evolution. It is a self-recommending classic."
m/1006234-dracula,Pablo Villaça,False,Cinema em Cena,Fresh,3/5,2002-05-31,"uma pena que o vampiro absoluto das telas, Bela Lugosi, no tenha estrelado um filme perene como a lenda em que ele se tornou."
m/1006234-dracula,Scott Weinberg,False,eFilmCritic.com,Fresh,5/5,2002-07-26,Still the best American take on the infamous bloodsucker.
m/1006234-dracula,Philip Martin,False,Arkansas Democrat-Gazette,Fresh,4/5,2002-07-31,
m/1006234-dracula,Jonathan R. Perry,False,Tyler Morning Telegraph (Texas),Fresh,4/5,2002-08-03,"Campy by today's standards, but still the melancholic master of fright flicks."
m/1006234-dracula,Rob Vaux,False,Flipside Movie Emporium,Fresh,5/5,2002-08-05,
m/1006234-dracula,Angie Errigo,False,Empire Magazine,Fresh,4/5,2002-09-26,"When Bela Lugosi died he was buried wearing one of his original silk capes. Forever cloaked, he casts his shadow still."
m/1006234-dracula,Dennis Schwartz,False,Dennis Schwartz Movie Reviews,Fresh,B,2002-11-04,...the film survives as a classic horror tale largely because of Lugosi's distinctive portrayal as Dracula.
m/1006234-dracula,Bob Bloom,False,"Journal and Courier (Lafayette, IN)",Rotten,2/5,2003-01-19,"Despite its reputation as a horror classic, Dracula is tedious, stagebound and dull; saved only by Lugosi's perfomance."
m/1006234-dracula,Jeffrey Westhoff,False,"Northwest Herald (Crystal Lake, IL)",Fresh,3/5,2003-01-20,
m/1006234-dracula,Mark Palermo,False,"The Coast (Halifax, Nova Scotia)",Fresh,4/5,2003-01-27,
m/1006234-dracula,Mordaunt Hall,True,New York Times,Fresh,,2003-05-20,"With Mr. Browning's imaginative direction and Mr. Lugosi's makeup and weird gestures, this picture succeeds to some extent in its grand guignol intentions."
m/1006234-dracula,Ken Hanke,False,"Mountain Xpress (Asheville, NC)",Fresh,4.5/5,2003-08-06,"Bathed in an atmosphere of nightmare, dread and otherworldliness that is unlike anything else in American horror cinema."
m/1006234-dracula,Carol Cling,False,Las Vegas Review-Journal,Fresh,4/5,2003-09-05,
m/1006234-dracula,Jeremiah Kipp,False,ToxicUniverse.com,Fresh,3.5/5,2004-02-08,"Dracula takes place within the confines of the parlors and drawing rooms of London society, which bears a striking resemblance to Americana circa 1931."
m/1006234-dracula,Frank Swietek,False,One Guy's Opinion,Fresh,4/5,2004-03-22,
m/1006234-dracula,Walter Chaw,False,Film Freak Central,Fresh,3/4,2004-06-02,"After Lugosi, all vampire performances are doomed to be compared against him as either homage or departure."
m/1006234-dracula,Emily Blunt,False,Blunt Review,Fresh,5/5,2005-01-07,It haunted no one as much as dear Bela...
m/1006234-dracula,James Wegg,False,JWR,Fresh,4/5,2005-02-26,[The music] contributes to Tod Browning's marvellous tone of restrained horror and stylish after-life.
m/1006234-dracula,Stefan Birgir Stefansson,False,sbs.is,Rotten,2.5/4,2005-05-12,there is a reason why Bela ended up in Ed Wood movies
m/1006234-dracula,Emanuel Levy,False,EmanuelLevy.Com,Fresh,4/5,2005-06-19,
m/1006234-dracula,Chuck O'Leary,False,Fantastica Daily,Fresh,4/5,2005-09-21,
m/1006234-dracula,David Cornelius,False,eFilmCritic.com,Fresh,5/5,2005-10-08,"Once you get into the rhythms of the film, you'll discover a masterpiece."
m/1006234-dracula,Tom Milne,True,Time Out,Fresh,,2006-01-26,"Not by any means the masterpiece of fond memory or reputation, although the first twenty minutes are astonishingly fluid and brilliantly shot by Karl Freund."
m/1006234-dracula,,False,Film4,Fresh,,2007-09-25,"Bela Lugosi gives the performance of his life in a role that might have been written just for him. Highly atmospheric throughout, this remains a milestone in horror movie history."
